SubjID,RunNum,TrialNum,ItemNum,ItemType,LangType,TrialOnset,RT,CorrectAnswer,Response,Accuracy
FED_20190215a_3T2,4,3,94,6,sent,28.456999999999997,19.2446,2,-1,0
FED_20190215a_3T2,4,4,58,4,jap,52.744,20.9838,2,-1,0
FED_20190215a_3T2,4,6,40,3,jap,88.7999,19.3471,2,-1,0
FED_20190215a_3T2,4,7,76,5,sent,113.2041,29.7333,2,-1,0
FED_20190215a_3T2,4,8,4,1,en,147.993,16.1124,4,-1,0
FED_20190215a_3T2,12,2,66,4,sent,10.0563,26.3112,1,-1,0
FED_20190215a_3T2,12,3,30,2,jap,41.4112,38.8632,2,-1,0
FED_20190215a_3T2,12,4,102,6,en,85.3187,28.9606,1,-1,0
FED_20190215a_3T2,12,6,84,5,en,129.3591,21.6514,2,-1,0
FED_20190215a_3T2,12,7,12,1,jap,156.0635,50.0001,2,-1,0
FED_20190215a_3T2,12,8,48,3,sent,211.1055,26.078000000000003,2,-1,0
FED_20190215a_3T2,2,2,92,6,jap,10.0502,17.2912,2,-1,0
FED_20190215a_3T2,2,3,20,2,sent,32.3697,24.2159,3,3,1
FED_20190215a_3T2,2,4,56,4,en,61.6245,9.602,2,-1,0
FED_20190215a_3T2,2,6,38,3,en,86.3121,14.4192,2,-1,0
FED_20190215a_3T2,2,7,2,1,sent,105.7817,37.3471,2,-1,0
FED_20190215a_3T2,2,8,74,5,jap,148.1888,31.1975,4,-1,0
FED_20190215a_3T2,3,2,39,3,sent,10.0615,20.7708,1,-1,0
FED_20190215a_3T2,3,3,75,5,en,35.8823,24.8809,2,-1,0
FED_20190215a_3T2,3,4,3,1,jap,65.8206,20.7921,2,-1,0
FED_20190215a_3T2,3,6,21,2,jap,101.6931,30.9523,3,-1,0
FED_20190215a_3T2,3,7,93,6,en,137.6989,17.7931,3,3,1
FED_20190215a_3T2,3,8,57,4,sent,160.5191,19.9305,1,-1,0
FED_20190215a_3T2,8,2,98,6,jap,10.0527,17.6158,1,-1,0
FED_20190215a_3T2,8,3,26,2,sent,32.7063,19.6328,3,-1,0
FED_20190215a_3T2,8,4,62,4,en,57.3938,14.2758,4,-1,0
FED_20190215a_3T2,8,6,44,3,en,86.7318,16.4771,1,-1,0
FED_20190215a_3T2,8,7,8,1,sent,108.2353,13.9133,2,-1,0
FED_20190215a_3T2,8,8,80,5,jap,127.2051,20.6006,3,-1,0
FED_20190215a_3T2,9,2,45,3,sent,10.0456,31.9256,1,-1,0
FED_20190215a_3T2,9,3,81,5,en,47.0182,23.724,2,-1,0
FED_20190215a_3T2,9,4,9,1,jap,75.7728,14.8365,2,4,0
FED_20190215a_3T2,9,6,27,2,jap,105.7112,20.1801,1,-1,0
FED_20190215a_3T2,9,7,99,6,en,130.9487,25.6287,1,-1,0
FED_20190215a_3T2,9,8,63,4,sent,161.637,17.4357,4,-1,0
FED_20190307a_3T2,15,2,51,3,sent,10.0446,9.337,2,2,1
FED_20190307a_3T2,15,3,87,5,en,24.4469,21.936999999999998,3,3,1
FED_20190307a_3T2,15,4,15,1,jap,51.4347,15.3446,3,3,1
FED_20190307a_3T2,15,6,33,2,jap,81.8395,31.2273,3,3,1
FED_20190307a_3T2,15,7,105,6,en,118.1288,9.6151,2,2,1
FED_20190307a_3T2,15,8,69,4,sent,132.7979,23.6442,3,3,1
FED_20190307a_3T2,14,2,104,6,jap,10.057,10.2285,1,1,1
FED_20190307a_3T2,14,3,32,2,sent,25.3093,11.7462,2,2,1
FED_20190307a_3T2,14,4,68,4,en,42.1119,10.7568,2,2,1
FED_20190307a_3T2,14,6,50,3,en,67.9328,13.5994,3,3,1
FED_20190307a_3T2,14,7,14,1,sent,86.5858,12.3731,2,2,1
FED_20190307a_3T2,14,8,86,5,jap,104.0053,20.8797,2,2,1
FED_20190307a_3T2,5,2,77,5,jap,10.0478,37.7297,4,3,0
FED_20190307a_3T2,5,3,41,3,en,52.838,19.7906,1,1,1
FED_20190307a_3T2,5,4,5,1,sent,77.6755,50.0001,3,1,0
FED_20190307a_3T2,5,6,23,2,sent,142.7526,9.5695,3,3,1
FED_20190307a_3T2,5,7,59,4,en,157.3885,20.0659,1,1,1
FED_20190307a_3T2,5,8,95,6,jap,182.5092,11.1579,2,2,1
FED_20190307a_3T2,4,2,22,2,en,10.0568,14.5827,2,2,1
FED_20190307a_3T2,4,3,94,6,sent,29.6933,21.6468,2,2,1
FED_20190307a_3T2,4,4,58,4,jap,56.3642,34.429,2,2,1
FED_20190307a_3T2,4,6,40,3,jap,105.8556,9.5808,2,2,1
FED_20190307a_3T2,4,7,76,5,sent,120.4746,20.0615,2,2,1
FED_20190307a_3T2,4,8,4,1,en,145.5955,9.5004,4,2,0
FED_20190307a_3T2,2,2,92,6,jap,10.0584,14.2988,2,2,1
FED_20190307a_3T2,2,3,20,2,sent,29.3947,10.122,3,3,1
FED_20190307a_3T2,2,4,56,4,en,44.5806,6.5004,2,2,1
FED_20190307a_3T2,2,6,38,3,en,66.184,10.5595,2,2,1
FED_20190307a_3T2,2,7,2,1,sent,81.8033,28.3349,2,2,1
FED_20190307a_3T2,2,8,74,5,jap,115.1922,21.3544,4,3,0
FED_20190307a_3T2,3,2,39,3,sent,10.0477,8.5544,1,1,1
FED_20190307a_3T2,3,3,75,5,en,23.6331,15.2061,2,2,1
FED_20190307a_3T2,3,4,3,1,jap,43.9031,29.1827,2,2,1
FED_20190307a_3T2,3,6,21,2,jap,88.1603,19.4596,3,3,1
FED_20190307a_3T2,3,7,93,6,en,112.681,7.2641,3,3,1
FED_20190307a_3T2,3,8,57,4,sent,124.98299999999999,9.1786,1,1,1
FED_20190307a_3T2,8,2,98,6,jap,10.0458,12.3064,1,1,1
FED_20190307a_3T2,8,3,26,2,sent,27.3986,16.1923,3,3,1
FED_20190307a_3T2,8,4,62,4,en,48.6188,10.1865,4,4,1
FED_20190307a_3T2,8,6,44,3,en,73.8895,14.6402,1,2,0
FED_20190307a_3T2,8,7,8,1,sent,93.5761,12.9792,2,4,0
FED_20190307a_3T2,8,8,80,5,jap,111.5957,19.0553,3,3,1
FED_20190307a_3T2,9,2,45,3,sent,10.0536,24.5552,1,4,0
FED_20190307a_3T2,9,3,81,5,en,39.6584,39.6364,2,4,0
FED_20190307a_3T2,9,4,9,1,jap,84.3321,20.1335,2,2,1
FED_20190307a_3T2,9,6,27,2,jap,119.5379,22.0868,1,1,1
FED_20190307a_3T2,9,7,99,6,en,146.6924,10.7912,1,1,1
FED_20190307a_3T2,9,8,63,4,sent,162.5283,20.8686,4,4,1
FED_20190307a_3T2,12,2,66,4,sent,10.0521,14.6161,1,1,1
FED_20190307a_3T2,12,3,30,2,jap,29.7052,18.1578,2,2,1
FED_20190307a_3T2,12,4,102,6,en,52.9256,14.807,1,1,1
FED_20190307a_3T2,12,6,84,5,en,82.79700000000001,18.0635,2,2,1
FED_20190307a_3T2,12,7,12,1,jap,105.9176,21.8938,2,2,1
FED_20190307a_3T2,12,8,48,3,sent,132.8551,11.0754,2,2,1
FED_20190307a_3T2,13,2,13,1,en,10.0485,8.0174,3,3,1
FED_20190307a_3T2,13,3,49,3,jap,23.1173,9.3265,3,3,1
FED_20190307a_3T2,13,4,85,5,sent,37.503,13.5241,1,1,1
FED_20190307a_3T2,13,6,103,6,sent,66.1076,22.2861,2,2,1
FED_20190307a_3T2,13,7,67,4,jap,93.4455,14.1537,2,4,0
FED_20190307a_3T2,13,8,31,2,en,112.632,16.0475,1,1,1
FED_20190307a_3T2,6,2,60,4,sent,10.0588,10.613,3,3,1
FED_20190307a_3T2,6,3,24,2,jap,25.7279,40.6479,4,3,0
FED_20190307a_3T2,6,4,96,6,en,71.4187,8.3345,2,4,0
FED_20190307a_3T2,6,6,78,5,en,94.8392,15.2733,3,3,1
FED_20190307a_3T2,6,7,6,1,jap,115.1425,12.1341,3,3,1
FED_20190307a_3T2,6,8,42,3,sent,132.3286,10.115,3,3,1
FED_20190307a_3T2,7,2,7,1,en,10.0552,11.6054,3,3,1
FED_20190307a_3T2,7,3,43,3,jap,26.7079,32.6871,2,2,1
FED_20190307a_3T2,7,4,79,5,sent,64.4472,29.1331,2,2,1
FED_20190307a_3T2,7,6,97,6,sent,108.6545,12.7515,1,1,1
FED_20190307a_3T2,7,7,61,4,jap,126.4574,9.6626,3,3,1
FED_20190307a_3T2,7,8,25,2,en,141.1764,14.0146,3,3,1
FED_20190307a_3T2,11,2,83,5,jap,10.056000000000001,21.9807,3,3,1
FED_20190307a_3T2,11,3,47,3,en,37.0938,50.0014,1,3,0
FED_20190307a_3T2,11,4,11,1,sent,92.1528,40.9538,1,1,1
FED_20190307a_3T2,11,6,29,2,sent,148.1951,31.11,2,2,1
FED_20190307a_3T2,11,7,65,4,en,184.3344,12.3583,1,1,1
FED_20190307a_3T2,11,8,101,6,jap,201.75400000000002,11.4314,1,1,1
FED_20190307a_3T2,10,2,28,2,en,10.0479,18.7617,2,4,0
FED_20190307a_3T2,10,3,100,6,sent,33.8516,30.2689,2,2,1
FED_20190307a_3T2,10,4,64,4,jap,69.1575,15.1946,2,2,1
FED_20190307a_3T2,10,6,46,3,jap,99.4458,12.4273,1,1,1
FED_20190307a_3T2,10,7,82,5,sent,116.932,13.84,2,2,1
FED_20190307a_3T2,10,8,10,1,en,135.8184,21.8616,2,2,1
FED_20190307a_3T2,1,2,1,1,en,10.1491,11.5986,1,1,1
FED_20190307a_3T2,1,3,37,3,jap,26.8345,13.4362,3,3,1
FED_20190307a_3T2,1,4,73,5,sent,45.3375,16.7611,1,1,1
FED_20190307a_3T2,1,6,91,6,sent,77.1927,33.7381,2,2,1
FED_20190307a_3T2,1,7,55,4,jap,115.9823,8.5889,1,1,1
FED_20190307a_3T2,1,8,19,2,en,129.6179,14.9195,2,2,1
FED_20190307b_3T2,2,2,38,3,sent,10.0582,28.371,2,2,1
FED_20190307b_3T2,2,3,74,5,en,43.4801,24.89,4,3,0
FED_20190307b_3T2,2,4,2,1,jap,73.4351,45.1033,2,2,1
FED_20190307b_3T2,2,6,20,2,jap,133.6115,27.1057,3,3,1
FED_20190307b_3T2,2,7,92,6,en,165.7667,29.0484,2,2,1
FED_20190307b_3T2,2,8,56,4,sent,199.8726,24.6471,2,2,1
FED_20190307b_3T2,3,2,21,2,en,10.0471,28.0382,3,3,1
FED_20190307b_3T2,3,3,93,6,sent,43.1357,24.9406,3,3,1
FED_20190307b_3T2,3,4,57,4,jap,73.1241,19.5245,1,1,1
FED_20190307b_3T2,3,6,39,3,jap,107.7296,27.0516,1,1,1
FED_20190307b_3T2,3,7,75,5,sent,139.835,16.8312,2,2,1
FED_20190307b_3T2,3,8,3,1,en,161.7051,36.0726,2,2,1
FED_20190307b_3T2,8,2,44,3,sent,10.0414,15.683,1,1,1
FED_20190307b_3T2,8,3,80,5,en,30.7783,37.4895,3,3,1
FED_20190307b_3T2,8,4,8,1,jap,73.3017,40.2871,2,2,1
FED_20190307b_3T2,8,6,26,2,jap,128.6774,42.661,3,3,1
FED_20190307b_3T2,8,7,98,6,en,176.3685,29.4742,1,1,1
FED_20190307b_3T2,8,8,62,4,sent,210.891,30.1705,4,1,0
FED_20190307b_3T2,9,2,27,2,en,10.0552,18.5537,1,1,1
FED_20190307b_3T2,9,3,99,6,sent,33.659,35.4739,1,1,1
FED_20190307b_3T2,9,4,63,4,jap,74.1823,30.5301,4,4,1
FED_20190307b_3T2,9,6,45,3,jap,119.8062,19.4793,1,1,1
FED_20190307b_3T2,9,7,81,5,sent,144.3435,37.3928,2,3,0
FED_20190307b_3T2,9,8,9,1,en,186.8004,43.3279,2,2,1
FED_20190307b_3T2,5,2,59,4,sent,10.0539,43.4228,1,1,1
FED_20190307b_3T2,5,3,23,2,jap,58.5284,20.2054,3,3,1
FED_20190307b_3T2,5,4,95,6,en,83.7825,19.1637,2,2,1
FED_20190307b_3T2,5,6,77,5,en,118.0213,43.0727,4,4,1
FED_20190307b_3T2,5,7,5,1,jap,166.146,36.6582,3,3,1
FED_20190307b_3T2,5,8,41,3,sent,207.8694,50.0,1,3,0
FED_20190307b_3T2,4,2,76,5,jap,10.0574,42.744,2,2,1
FED_20190307b_3T2,4,3,40,3,en,57.8652,26.3332,2,2,1
FED_20190307b_3T2,4,4,4,1,sent,89.2537,25.6421,4,4,1
FED_20190307b_3T2,4,6,22,2,sent,129.9769,26.5847,2,2,1
FED_20190307b_3T2,4,7,58,4,en,161.6154,36.2005,2,2,1
FED_20190307b_3T2,4,8,94,6,jap,202.8555,26.3434,2,2,1
FED_20190307b_3T2,12,2,12,1,en,10.0575,25.3187,2,2,1
FED_20190307b_3T2,12,3,48,3,jap,40.429,18.1821,2,2,1
FED_20190307b_3T2,12,4,84,5,sent,63.6662,29.0165,2,2,1
FED_20190307b_3T2,12,6,102,6,sent,107.7733,46.5154,1,1,1
